Organism	g00	KO	Function
mluteus16	g002886	"K02428,K03742"	"Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)"
mluteus16	g000260	K03499	TrkA-N domain protein
mluteus16	g000597		peptidase'
mluteus16	g000903	K02879	50S ribosomal protein L17
mluteus16	g001544		
mluteus16	g003125	"K02337,K02342"	DNA polymerase III subunit epsilon
mluteus16	g003515		abc transporter related protein
mluteus16	g000869	"K05522,K10563"	"Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates (By similarity)"
mluteus16	g004037	K08281	nicotinamidase
mluteus16	g001685		response regulator
mluteus16	g001058	K07156	Copper resistance protein
mluteus16	g002255		thiJ PfpI domain-containing protein
mluteus16	g000592		DSBA oxidoreductase
mluteus16	g003849		integrase catalytic
mluteus16	g001473		
mluteus16	g001618	"K07657,K07670"	response regulator
mluteus16	g000534	"K02483,K07657,K07658,K07668,K07776,K11329"	regulator
mluteus16	g000443		beta-lactamase domain protein
mluteus16	g003022	"K02003,K09810"	"Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)"
mluteus16	g002672	"K02029,K10006,K10040"	abc transporter
mluteus16	g002997		May play a role in the intracellular transport of hydrophobic ligands
mluteus16	g002679		Formate/nitrite transporter
mluteus16	g001658	K19710	HIT domain
mluteus16	g000185	K02072	ABC transporter (Permease)
mluteus16	g001477	K03648	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine (By similarity)
mluteus16	g003087		Two component transcriptional regulator luxr family
mluteus16	g003283		Flavin_Reduct
mluteus16	g003282		GntR family transcriptional regulator
mluteus16	g002820	"K01420,K10914"	CRP FNR family transcriptional regulator
mluteus16	g003581	K05808	sigma 54 modulation protein ribosomal protein S30EA
mluteus16	g002004		Acyltransferase
mluteus16	g003775	K02072	ABC transporter (Permease)
mluteus16	g003703		SAF domain protein
mluteus16	g003292	K03499	TrkA-N domain protein
mluteus16	g003006		Short-chain dehydrogenase reductase SDR
mluteus16	g003130	K05808	sigma 54 modulation protein ribosomal protein S30EA
mluteus16	g000031		
mluteus16	g000467	K00655	Acyltransferase
mluteus16	g002907	K07693	response regulator
mluteus16	g002545		peptidase
mluteus16	g000797		phosphoglycerate mutase
mluteus16	g003756	K05846	Binding-protein-dependent transport systems inner membrane component
mluteus16	g000388		Transcriptional regulator
mluteus16	g003345		peptidase
mluteus16	g003293		phosphoglycerate mutase
mluteus16	g001483		peptidase
mluteus16	g002949		GDSL-like Lipase/Acylhydrolase
mluteus16	g000251		Resuscitation-promoting factor
mluteus16	g002613	K00655	Acyltransferase
mluteus16	g002512	K01673	carbonic anhydrase
mluteus16	g002691	"K01409,K14742"	Peptidase M22 glycoprotease
mluteus16	g002668	K07043	Metal-dependent hydrolase
mluteus16	g002564	"K02003,K09810"	"Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)"
mluteus16	g002607	K01783	Ribulose-phosphate 3-epimerase
mluteus16	g003155	K03709	"iron (metal) dependent repressor, DtxR family"
mluteus16	g003511	K01784	UDP-glucose 4-epimerase
mluteus16	g001521		
mluteus16	g001633		Peptidase propeptide and YPEB domain
mluteus16	g001111	K02039	Plays a role in the regulation of phosphate uptake
mluteus16	g002182		May play a role in the intracellular transport of hydrophobic ligands
mluteus16	g001416	K03523	BioY protein
mluteus16	g002776		response regulator
mluteus16	g004042		Peptidase family S41
mluteus16	g003858	K01358	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
mluteus16	g000601	K01485	epimerase dehydratase
mluteus16	g003808	K01029	3-oxoacid CoA-transferase subunit B (EC 2.8.3.5)
mluteus16	g004104	K15634	phosphoglycerate mutase
mluteus16	g000496		Peptidase propeptide and YPEB domain
mluteus16	g000544	K09019	Nitroreductase
mluteus16	g001640	"K01029,K01032"	CoA-transferase subunit B
mluteus16	g001813	K01934	5-formyltetrahydrofolate cyclo-ligase
mluteus16	g001463		response regulator
mluteus16	g001864		methyltransferase
mluteus16	g001412		secreted protein
mluteus16	g001788		DsbA oxidoreductase
mluteus16	g001202		Protein of unknown function (DUF2637)
mluteus16	g002878	K15634	phosphoglycerate mutase
mluteus16	g000993		acetyltransferase
mluteus16	g000322	K03687	"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ"
mluteus16	g003296	K01304	Removes 5-oxoproline from various penultimate amino acid residues except L-proline (By similarity)
mluteus16	g003984		PemK-like protein
mluteus16	g000458		integral membrane protein
mluteus16	g000762	K00221	Alkylmercury lyase
mluteus16	g002940		Cyclase family
mluteus16	g001972	K07642	Histidine kinase
mluteus16	g001265		Vitamin K epoxide reductase
mluteus16	g002810		
mluteus16	g000131	K02501	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)"
mluteus16	g001110	K00943	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)
mluteus16	g003492		Peptidase propeptide and YPEB domain
mluteus16	g003492		Peptidase propeptide and YPEB domain
mluteus16	g004000	K05569	monovalent cation H antiporter subunit E
mluteus16	g002202	"K06147,K11085"	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
mluteus16	g002082		o-antigen acetylase
mluteus16	g002544		Protein of unknown function DUF72
mluteus16	g000450	K00793	"riboflavin synthase, subunit alpha"
mluteus16	g004048	K12510	Type ii secretion system
mluteus16	g000700		Tetr family transcriptional regulator
mluteus16	g002599	K06400	Resolvase domain protein
mluteus16	g000187	K01069	beta-lactamase domain protein
mluteus16	g003957		
mluteus16	g003768	K03895	IucA IucC family protein
mluteus16	g002460	K00663	Acetyltransferase (GNAT) family
mluteus16	g000436		
mluteus16	g003059	"K01658,K01664,K01951,K13497"	synthase component II
mluteus16	g003497		
mluteus16	g002516		
mluteus16	g004168	K07118	NAD dependent epimerase/dehydratase family
mluteus16	g001865	K00663	Acetyltransferase (GNAT) family
mluteus16	g000743	K16028	O-Methyltransferase
mluteus16	g002697	K02906	"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)"
mluteus16	g002893	K00942	"Essential for recycling GMP and indirectly, cGMP (By similarity)"
mluteus16	g000658	K04047	DNA protection during starvation protein
mluteus16	g001348		gCN5-related N-acetyltransferase
mluteus16	g003225		Tetr family transcriptional regulator
mluteus16	g001377	"K00969,K01488"	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)
mluteus16	g000958	K00859	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
mluteus16	g002659		SAF domain-containing protein
mluteus16	g001663		
mluteus16	g002865		Beta-lactamase domain-containing protein
mluteus16	g002026	K00448	"Protocatechuate 3,4-dioxygenase alpha subunit"
mluteus16	g003159		Rhomboid family
mluteus16	g004018		SNARE associated Golgi
mluteus16	g000997	K00448	"Protocatechuate 3,4-dioxygenase alpha subunit"
mluteus16	g003507	K02897	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)
mluteus16	g003490	K01269	Peptidase M1 membrane alanine aminopeptidase
mluteus16	g000559	"K00950,K13940"	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
mluteus16	g001839		abc transporter related protein
mluteus16	g000232	K03550	"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)"
mluteus16	g002269		abc transporter related protein
mluteus16	g001610		Vitamin K epoxide reductase
mluteus16	g000549	K00857	thymidine kinase
mluteus16	g002589	K01462	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity)
mluteus16	g003676	"K00995,K08744"	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyl-transferase
mluteus16	g000276	K05846	"ABC transporter, permease"
mluteus16	g003953		Formate/nitrite transporter
mluteus16	g001199		TetR family transcriptional regulator
mluteus16	g002087		
mluteus16	g001511		
mluteus16	g003567		
mluteus16	g002363	"K02276,K02299"	cytochrome C oxidase (subunit III)
mluteus16	g001196		Acetyltransferase (GNAT) family
mluteus16	g003152		
mluteus16	g001181		Co Zn Cd efflux system component
mluteus16	g003289	K00761	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)
mluteus16	g002696	K02926	Forms part of the polypeptide exit tunnel (By similarity)
mluteus16	g002128	K00564	methyltransferase
mluteus16	g000171		
mluteus16	g002636	K01159	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)
mluteus16	g000233	K01159	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)
mluteus16	g001225	K03824	acetyltransferase
mluteus16	g003196	K16783	Cobalt transport protein
mluteus16	g003562	K07118	Nad-dependent epimerase dehydratase
mluteus16	g001050	K08681	Involved in the hydrolysis of glutamine to glutamate and ammonia. Channels an ammonia molecule to PdxS (By similarity)
mluteus16	g004128		LysE type translocator
mluteus16	g001976		
mluteus16	g002077	K09772	"Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation, perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA (By similarity)"
mluteus16	g001195		Protein of unknown function (DUF1345)
mluteus16	g001851		
mluteus16	g001124	K01823	"Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity)"
mluteus16	g003470	K09012	Transcriptional regulator
mluteus16	g001059	K09796	Secreted protein
mluteus16	g003055		regulator
mluteus16	g002445		
mluteus16	g001675		
mluteus16	g003094		Inherit from COG: -acetyltransferase
mluteus16	g002686	K03790	N-acetyltransferase
mluteus16	g002632	K01465	Dihydroorotase
mluteus16	g000358		
mluteus16	g002899	K02986	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)"
mluteus16	g003175		
mluteus16	g001656	K00793	"riboflavin synthase, subunit alpha"
mluteus16	g004008		
mluteus16	g002591	K13288	3'-to-5' exoribonuclease specific for small oligoribonucleotides (By similarity)
mluteus16	g003273	K04564	Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)
mluteus16	g000334	K08681	Involved in the hydrolysis of glutamine to glutamate and ammonia. Channels an ammonia molecule to PdxS (By similarity)
mluteus16	g001561	K06925	ATP-binding protein
mluteus16	g003536	K07220	
mluteus16	g000152	K13018	acetyltransferase
mluteus16	g003104		Inherit from bactNOG: exported protein
mluteus16	g003167	K01628	Class II aldolase
mluteus16	g001576	K02897	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)
mluteus16	g003229		integral membrane protein
mluteus16	g002280		Acetyltransferase (GNAT) family
mluteus16	g003727		dithiol-disulfide isomerase involved in polyketide biosynthesis
mluteus16	g001886	"K03606,K15915"	Undecaprenyl-phosphate galactose phosphotransferase
mluteus16	g003474	K06133	Inherit from bactNOG: 4'-phosphopantetheinyl transferase
mluteus16	g002742	K00782	Conserved protein
mluteus16	g000186	K00876	AtP-binding protein
mluteus16	g003896	K01495	GTP cyclohydrolase I
mluteus16	g001445	"K02479,K07693"	response regulator
mluteus16	g002347		
mluteus16	g001423	K01897	Amp-dependent synthetase and ligase
mluteus16	g001158	K08884	Serine Threonine protein kinase
mluteus16	g004035		Redoxin domain protein
mluteus16	g000325	K05569	monovalent cation H antiporter subunit E
mluteus16	g001316	K01358	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
mluteus16	g001317		DsbA oxidoreductase
mluteus16	g000680	K00939	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)
